GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Auth Service,com.stationery.auth.dto,AuthResponse,50,0,0,0,16,0,11,0,11,0
Auth Service,com.stationery.auth.dto,AuthResponse.AuthResponseBuilder,35,0,0,0,6,0,6,0,6,0
Auth Service,com.stationery.auth.dto,LoginRequest,30,0,0,0,10,0,7,0,7,0
Auth Service,com.stationery.auth.dto,RegisterRequest,56,0,0,0,17,0,11,0,11,0
Auth Service,com.stationery.auth.dto,RegisterRequest.RegisterRequestBuilder,38,0,0,0,7,0,6,0,6,0
Auth Service,com.stationery.auth.dto,LoginRequest.LoginRequestBuilder,21,0,0,0,4,0,4,0,4,0
Auth Service,com.stationery.auth.model,User.UserBuilder,56,0,0,0,9,0,9,0,9,0
Auth Service,com.stationery.auth.model,User,91,0,0,0,30,0,19,0,19,0
Auth Service,com.stationery.auth.model,Role,15,0,0,0,3,0,1,0,1,0
Auth Service,com.stationery.auth.service,AuthService,210,0,4,0,52,0,10,0,8,0
Auth Service,com.stationery.auth.exception,GlobalExceptionHandler,87,0,0,0,26,0,6,0,6,0
Auth Service,com.stationery.auth.exception,ErrorResponse.ErrorResponseBuilder,28,0,0,0,5,0,5,0,5,0
Auth Service,com.stationery.auth.exception,ErrorResponse,40,0,0,0,13,0,9,0,9,0
Auth Service,com.stationery.auth.controller,AuthController,112,0,6,0,29,0,9,0,6,0
Auth Service,com.stationery.auth,AuthServiceApplication,8,0,0,0,3,0,2,0,2,0
Auth Service,com.stationery.auth.security,JwtUtil,113,0,0,0,37,0,8,0,8,0
Auth Service,com.stationery.auth.security,SecurityConfig,68,0,0,0,13,0,6,0,6,0
Auth Service,com.stationery.auth.security,CustomUserDetailsService,37,0,0,0,9,0,3,0,3,0
